Alter in 5-Jahresgruppen <20>,Jahr,Politischer Bezirk / Wiener Gemeindebezirk - Herkunftsort,Politischer Bezirk / Wiener Gemeindebezirk - Zielort,Anzahl,Anmerkungen
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 9.Bezirk, Alsergrund <909>",3
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 10.Bezirk, Favoriten <910>",49
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 11.Bezirk, Simmering <911>",20
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 12.Bezirk, Meidling <912>",32
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 13.Bezirk, Hietzing <913>",11
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 14.Bezirk, Penzing <914>",16
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",15
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 16.Bezirk, Ottakring <916>",5
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 17.Bezirk, Hernals <917>",3
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 18.Bezirk, Währing <918>",3
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 19.Bezirk, Döbling <919>",4
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 20.Bezirk, Brigittenau <920>",9
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 21.Bezirk, Floridsdorf <921>",14
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 22.Bezirk, Donaustadt <922>",26
bis 4 Jahre,2025,"Wien 5.Bezirk, Margareten <905>","Wien 23.Bezirk, Liesing <923>",17
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 1.Bezirk, Innere Stadt <901>",-
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 2.Bezirk, Leopoldstadt <902>",4
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 3.Bezirk, Landstraße <903>",11
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 4.Bezirk, Wieden <904>",2
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 5.Bezirk, Margareten <905>",6
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 6.Bezirk, Mariahilf <906>",22
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 7.Bezirk, Neubau <907>",6
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 8.Bezirk, Josefstadt <908>",1
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 9.Bezirk, Alsergrund <909>",2
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 10.Bezirk, Favoriten <910>",7
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 11.Bezirk, Simmering <911>",1
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 12.Bezirk, Meidling <912>",13
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 13.Bezirk, Hietzing <913>",2
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 14.Bezirk, Penzing <914>",10
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",6
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 16.Bezirk, Ottakring <916>",4
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 17.Bezirk, Hernals <917>",5
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 18.Bezirk, Währing <918>",5
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 19.Bezirk, Döbling <919>",9
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 20.Bezirk, Brigittenau <920>",1
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 21.Bezirk, Floridsdorf <921>",9
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 22.Bezirk, Donaustadt <922>",10
bis 4 Jahre,2025,"Wien 6.Bezirk, Mariahilf <906>","Wien 23.Bezirk, Liesing <923>",7
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 1.Bezirk, Innere Stadt <901>",3
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 2.Bezirk, Leopoldstadt <902>",4
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 3.Bezirk, Landstraße <903>",5
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 4.Bezirk, Wieden <904>",5
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 5.Bezirk, Margareten <905>",6
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 6.Bezirk, Mariahilf <906>",4
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 7.Bezirk, Neubau <907>",24
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 8.Bezirk, Josefstadt <908>",2
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 9.Bezirk, Alsergrund <909>",4
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 10.Bezirk, Favoriten <910>",7
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 11.Bezirk, Simmering <911>",3
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 12.Bezirk, Meidling <912>",7
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 13.Bezirk, Hietzing <913>",7
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 14.Bezirk, Penzing <914>",8
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",9
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 16.Bezirk, Ottakring <916>",10
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 17.Bezirk, Hernals <917>",3
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 18.Bezirk, Währing <918>",1
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 19.Bezirk, Döbling <919>",3
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 20.Bezirk, Brigittenau <920>",1
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 21.Bezirk, Floridsdorf <921>",4
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 22.Bezirk, Donaustadt <922>",3
bis 4 Jahre,2025,"Wien 7.Bezirk, Neubau <907>","Wien 23.Bezirk, Liesing <923>",4
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 1.Bezirk, Innere Stadt <901>",-
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 2.Bezirk, Leopoldstadt <902>",1
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 3.Bezirk, Landstraße <903>",5
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 4.Bezirk, Wieden <904>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 5.Bezirk, Margareten <905>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 6.Bezirk, Mariahilf <906>",1
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 7.Bezirk, Neubau <907>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 8.Bezirk, Josefstadt <908>",17
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 9.Bezirk, Alsergrund <909>",11
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 10.Bezirk, Favoriten <910>",-
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 11.Bezirk, Simmering <911>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 12.Bezirk, Meidling <912>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 13.Bezirk, Hietzing <913>",3
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 14.Bezirk, Penzing <914>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 15.Bezirk, Rudolfsheim-Fünfhaus <915>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 16.Bezirk, Ottakring <916>",6
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 17.Bezirk, Hernals <917>",2
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 18.Bezirk, Währing <918>",1
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 19.Bezirk, Döbling <919>",5
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 20.Bezirk, Brigittenau <920>",-
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 21.Bezirk, Floridsdorf <921>",-
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 22.Bezirk, Donaustadt <922>",6
bis 4 Jahre,2025,"Wien 8.Bezirk, Josefstadt <908>","Wien 23.Bezirk, Liesing <923>",7
